,year,month,sales,iso_alpha
5591,2021,8,22355,PAK
5648,2021,9,22748,PAK
5708,2021,10,21508,PAK
5766,2021,11,19246,PAK
5817,2021,12,27676,PAK
5877,2022,1,21388,PAK
5933,2022,2,22210,PAK
5990,2022,3,27767,PAK
6047,2022,4,23015,PAK
6106,2022,5,23379,PAK
6162,2022,6,28968,PAK
6231,2022,7,12199,PAK
6290,2022,8,12130,PAK
6347,2022,9,11583,PAK
6401,2022,10,13777,PAK
6455,2022,11,18673,PAK
6510,2022,12,17244,PAK
6571,2023,1,10921,PAK
6632,2023,2,6449,PAK
6686,2023,3,9559,PAK
6748,2023,4,4574,PAK
6801,2023,5,5477,PAK
6855,2023,6,5965,PAK
6911,2023,7,5165,PAK
6963,2023,8,7456,PAK
7014,2023,9,8197,PAK
36,2014,1,15178,PHL
93,2014,2,16320,PHL
153,2014,3,18684,PHL
213,2014,4,17505,PHL
271,2014,5,18973,PHL
330,2014,6,18923,PHL
387,2014,7,20031,PHL
445,2014,8,18460,PHL
504,2014,9,20148,PHL
563,2014,10,21529,PHL
622,2014,11,20614,PHL
678,2014,12,20216,PHL
738,2015,1,21930,PHL
797,2015,2,22990,PHL
859,2015,3,25234,PHL
919,2015,4,25600,PHL
980,2015,5,24448,PHL
1046,2015,6,22687,PHL
1105,2015,7,24006,PHL
1163,2015,8,24691,PHL
1224,2015,9,25720,PHL
1285,2015,10,27056,PHL
1345,2015,11,26637,PHL
1405,2015,12,29610,PHL
1468,2016,1,26450,PHL
1527,2016,2,26301,PHL
1592,2016,3,26098,PHL
1651,2016,4,26154,PHL
1713,2016,5,26754,PHL
1776,2016,6,26547,PHL
1835,2016,7,27245,PHL
1890,2016,8,31491,PHL
1951,2016,9,34304,PHL
2013,2016,10,32056,PHL
2074,2016,11,32801,PHL
2133,2016,12,39596,PHL
2198,2017,1,33311,PHL
2258,2017,2,31800,PHL
2322,2017,3,40203,PHL
2385,2017,4,32916,PHL
2447,2017,5,38449,PHL
2512,2017,6,38979,PHL
2570,2017,7,37821,PHL
2632,2017,8,37296,PHL
2696,2017,9,37063,PHL
2757,2017,10,38490,PHL
2819,2017,11,42242,PHL
2879,2017,12,47908,PHL
2946,2018,1,34913,PHL
3009,2018,2,29212,PHL
3071,2018,3,32451,PHL
3134,2018,4,28156,PHL
3195,2018,5,33218,PHL
3257,2018,6,32136,PHL
3319,2018,7,30167,PHL
3379,2018,8,32202,PHL
3436,2018,9,34243,PHL
3501,2018,10,36867,PHL
3564,2018,11,33819,PHL
3625,2018,12,34047,PHL
3691,2019,1,29686,PHL
3748,2019,2,29883,PHL
3813,2019,3,35480,PHL
3878,2019,4,28364,PHL
3937,2019,5,32885,PHL
4000,2019,6,34665,PHL
4059,2019,7,33903,PHL
4124,2019,8,32057,PHL
4184,2019,9,34197,PHL
4244,2019,10,37045,PHL
4307,2019,11,37368,PHL
4372,2019,12,36684,PHL
4434,2020,1,26464,PHL
4492,2020,2,32898,PHL
4568,2020,3,12190,PHL
4651,2020,4,127,PHL
4697,2020,5,5170,PHL
4747,2020,6,16629,PHL
4806,2020,7,22320,PHL
4868,2020,8,19109,PHL
4926,2020,9,26446,PHL
4989,2020,10,26758,PHL
5052,2020,11,24758,PHL
5112,2020,12,29648,PHL
5176,2021,1,25164,PHL
5230,2021,2,27880,PHL
5302,2021,3,22193,PHL
5362,2021,4,19043,PHL
5415,2021,5,23498,PHL
5477,2021,6,24332,PHL
5536,2021,7,23298,PHL
5600,2021,8,17227,PHL
5646,2021,9,23256,PHL
5703,2021,10,24038,PHL
5757,2021,11,27449,PHL
5816,2021,12,29217,PHL
5876,2022,1,21888,PHL
5927,2022,2,25656,PHL
5987,2022,3,31671,PHL
6045,2022,4,26732,PHL
6103,2022,5,27845,PHL
6159,2022,6,30396,PHL
6216,2022,7,29745,PHL
6274,2022,8,31157,PHL
6330,2022,9,33897,PHL
6386,2022,10,32497,PHL
6441,2022,11,35379,PHL
6500,2022,12,37782,PHL
6557,2023,1,30256,PHL
6609,2023,2,31653,PHL
6665,2023,3,37603,PHL
6722,2023,4,31375,PHL
6776,2023,5,39034,PHL
6832,2023,6,37061,PHL
6887,2023,7,37817,PHL
6940,2023,8,37439,PHL
6993,2023,9,39148,PHL
27,2014,1,28957,POL
85,2014,2,32324,POL
143,2014,3,35573,POL
206,2014,4,27646,POL
266,2014,5,24198,POL
323,2014,6,25354,POL
382,2014,7,25807,POL
443,2014,8,20063,POL
502,2014,9,23578,POL
558,2014,10,28669,POL
618,2014,11,24381,POL
675,2014,12,29085,POL
735,2015,1,29653,POL
793,2015,2,28293,POL
857,2015,3,33424,POL
918,2015,4,28298,POL
979,2015,5,26926,POL
1040,2015,6,30039,POL
1101,2015,7,29279,POL
1165,2015,8,23217,POL
1222,2015,9,27125,POL
1282,2015,10,28925,POL
1343,2015,11,30148,POL
1402,2015,12,37188,POL
1467,2016,1,31798,POL
1525,2016,2,33663,POL
1586,2016,3,39231,POL
1647,2016,4,34520,POL
1708,2016,5,32972,POL
1770,2016,6,38569,POL
1830,2016,7,31274,POL
1891,2016,8,28332,POL
1953,2016,9,32664,POL
2012,2016,10,32257,POL
2072,2016,11,37206,POL
2130,2016,12,43739,POL
2195,2017,1,38094,POL
2255,2017,2,38442,POL
2317,2017,3,49445,POL
2381,2017,4,39479,POL
2446,2017,5,39721,POL
2509,2017,6,41887,POL
2571,2017,7,36832,POL
2635,2017,8,34510,POL
2695,2017,9,37114,POL
2756,2017,10,40538,POL
2818,2017,11,42448,POL
2878,2017,12,48021,POL
2939,2018,1,46084,POL
3002,2018,2,42137,POL
3063,2018,3,51681,POL
3126,2018,4,44820,POL
3189,2018,5,42366,POL
3253,2018,6,46103,POL
3313,2018,7,46287,POL
3373,2018,8,56695,POL
3440,2018,9,27314,POL
3499,2018,10,39904,POL
3559,2018,11,43239,POL
3621,2018,12,45370,POL
3684,2019,1,45929,POL
3743,2019,2,43755,POL
3806,2019,3,50120,POL
3868,2019,4,46381,POL
3931,2019,5,47093,POL
3992,2019,6,45051,POL
4054,2019,7,49064,POL
4116,2019,8,48108,POL
4183,2019,9,35325,POL
4243,2019,10,46901,POL
4303,2019,11,45377,POL
4365,2019,12,52502,POL
4430,2020,1,35085,POL
4491,2020,2,33737,POL
4551,2020,3,26701,POL
4609,2020,4,13628,POL
4675,2020,5,18705,POL
4735,2020,6,31177,POL
4796,2020,7,37420,POL
4860,2020,8,30339,POL
4922,2020,9,33441,POL
4984,2020,10,35615,POL
5045,2020,11,35751,POL
5105,2020,12,44787,POL
5172,2021,1,32263,POL
5228,2021,2,37750,POL
5289,2021,3,47847,POL
5348,2021,4,40145,POL
5407,2021,5,40851,POL
5467,2021,6,43235,POL
5526,2021,7,38835,POL
5584,2021,8,33207,POL
5641,2021,9,33081,POL
5698,2021,10,31251,POL
5755,2021,11,31947,POL
5811,2021,12,36162,POL
5872,2022,1,30150,POL
5925,2022,2,34613,POL
5984,2022,3,40997,POL
6040,2022,4,36437,POL
6098,2022,5,37677,POL
6154,2022,6,41182,POL
6214,2022,7,35949,POL
6271,2022,8,34825,POL
6328,2022,9,37454,POL
6385,2022,10,33971,POL
6440,2022,11,36130,POL
6499,2022,12,38558,POL
6554,2023,1,36297,POL
6608,2023,2,39733,POL
6663,2023,3,50972,POL
6719,2023,4,36887,POL
6775,2023,5,40116,POL
6830,2023,6,43343,POL
6885,2023,7,37978,POL
6939,2023,8,38145,POL
6992,2023,9,40319,POL
42,2014,1,10504,PRT
100,2014,2,12462,PRT
157,2014,3,16434,PRT
216,2014,4,14250,PRT
273,2014,5,15712,PRT
331,2014,6,17624,PRT
391,2014,7,16229,PRT
455,2014,8,9167,PRT
514,2014,9,11539,PRT
568,2014,10,14062,PRT
628,2014,11,14043,PRT
685,2014,12,15425,PRT
746,2015,1,13658,PRT
805,2015,2,16346,PRT
864,2015,3,22595,PRT
927,2015,4,17317,PRT
984,2015,5,20549,PRT
1044,2015,6,23689,PRT
1110,2015,7,17976,PRT
1174,2015,8,11317,PRT
1233,2015,9,15103,PRT
1295,2015,10,16387,PRT
1356,2015,11,16279,PRT
1415,2015,12,16713,PRT
1476,2016,1,15948,PRT
1534,2016,2,20231,PRT
1589,2016,3,30190,PRT
1658,2016,4,18531,PRT
1717,2016,5,23517,PRT
1777,2016,6,26470,PRT
1840,2016,7,18478,PRT
1905,2016,8,12839,PRT
1964,2016,9,16918,PRT
2024,2016,10,17447,PRT
2084,2016,11,19571,PRT
2144,2016,12,21434,PRT
2208,2017,1,17515,PRT
2265,2017,2,21306,PRT
2326,2017,3,29681,PRT
2390,2017,4,21823,PRT
2453,2017,5,26677,PRT
2514,2017,6,28532,PRT
2582,2017,7,20522,PRT
2648,2017,8,14357,PRT
2708,2017,9,17793,PRT
2771,2017,10,18974,PRT
2830,2017,11,21166,PRT
2891,2017,12,20102,PRT
2956,2018,1,16858,PRT
3012,2018,2,23553,PRT
3073,2018,3,31385,PRT
3137,2018,4,24317,PRT
3197,2018,5,27121,PRT
3258,2018,6,30326,PRT
3322,2018,7,22921,PRT
3390,2018,8,18184,PRT
3452,2018,9,15887,PRT
3518,2018,10,17111,PRT
3574,2018,11,19222,PRT
3634,2018,12,20156,PRT
3700,2019,1,18549,PRT
3757,2019,2,21434,PRT
3820,2019,3,28067,PRT
3879,2019,4,24221,PRT
3941,2019,5,26146,PRT
4003,2019,6,28954,PRT
4071,2019,7,21580,PRT
4135,2019,8,15698,PRT
4196,2019,9,17271,PRT
4258,2019,10,18514,PRT
4319,2019,11,19126,PRT
4377,2019,12,22171,PRT
4450,2020,1,11734,PRT
4506,2020,2,15000,PRT
4572,2020,3,9454,PRT
4630,2020,4,2655,PRT
4695,2020,5,5363,PRT
4756,2020,6,9630,PRT
4816,2020,7,12197,PRT
4880,2020,8,10485,PRT
4943,2020,9,11016,PRT
5006,2020,10,11332,PRT
5068,2020,11,10456,PRT
5126,2020,12,11944,PRT
5189,2021,1,12068,PRT
5251,2021,2,10255,PRT
5308,2021,3,15500,PRT
5366,2021,4,17541,PRT
5422,2021,5,19023,PRT
5481,2021,6,21460,PRT
5546,2021,7,13935,PRT
5602,2021,8,9735,PRT
5658,2021,9,12495,PRT
5716,2021,10,12862,PRT
5772,2021,11,13377,PRT
5826,2021,12,15718,PRT
5885,2022,1,11652,PRT
5941,2022,2,13662,PRT
6002,2022,3,15622,PRT
6057,2022,4,14103,PRT
6115,2022,5,14289,PRT
6174,2022,6,17358,PRT
6227,2022,7,16293,PRT
6289,2022,8,12746,PRT
6344,2022,9,14240,PRT
6399,2022,10,14305,PRT
6456,2022,11,16844,PRT
6508,2022,12,17552,PRT
6564,2023,1,16759,PRT
6618,2023,2,18020,PRT
6674,2023,3,23811,PRT
6732,2023,4,17693,PRT
6785,2023,5,21984,PRT
6837,2023,6,25071,PRT
6898,2023,7,18015,PRT
6953,2023,8,14972,PRT
7006,2023,9,16387,PRT
49,2014,1,4795,ROU
105,2014,2,6119,ROU
165,2014,3,8013,ROU
223,2014,4,8057,ROU
281,2014,5,9499,ROU
337,2014,6,10530,ROU
397,2014,7,9978,ROU
457,2014,8,7455,ROU
516,2014,9,9128,ROU
575,2014,10,9511,ROU
633,2014,11,9396,ROU
692,2014,12,7824,ROU
753,2015,1,5534,ROU
813,2015,2,7109,ROU
873,2015,3,9267,ROU
933,2015,4,9482,ROU
992,2015,5,11621,ROU
1054,2015,6,12197,ROU
1115,2015,7,10489,ROU
1177,2015,8,9139,ROU
1237,2015,9,10129,ROU
1297,2015,10,12294,ROU
1358,2015,11,12365,ROU
1418,2015,12,10795,ROU
1483,2016,1,6604,ROU
1543,2016,2,8355,ROU
1604,2016,3,10801,ROU
1664,2016,4,10287,ROU
1726,2016,5,10166,ROU
1784,2016,6,14926,ROU
1844,2016,7,14717,ROU
1907,2016,8,11574,ROU
1967,2016,9,14016,ROU
2029,2016,10,13489,ROU
2089,2016,11,13144,ROU
2149,2016,12,13908,ROU
2217,2017,1,7434,ROU
2278,2017,2,9779,ROU
2339,2017,3,12706,ROU
2401,2017,4,10648,ROU
2462,2017,5,14009,ROU
2524,2017,6,17004,ROU
2588,2017,7,13770,ROU
2651,2017,8,12222,ROU
2711,2017,9,14603,ROU
2774,2017,10,15297,ROU
2835,2017,11,14786,ROU
2898,2017,12,14227,ROU
2966,2018,1,9048,ROU
3024,2018,2,11492,ROU
3084,2018,3,15433,ROU
3145,2018,4,15858,ROU
3206,2018,5,18501,ROU
3268,2018,6,18635,ROU
3331,2018,7,16684,ROU
3395,2018,8,13394,ROU
3453,2018,9,15735,ROU
3517,2018,10,18272,ROU
3576,2018,11,18237,ROU
3640,2018,12,15926,ROU
3708,2019,1,11008,ROU
3765,2019,2,13047,ROU
3829,2019,3,14180,ROU
3887,2019,4,19219,ROU
3948,2019,5,20997,ROU
4009,2019,6,20043,ROU
4074,2019,7,17189,ROU
4138,2019,8,13997,ROU
4194,2019,9,18206,ROU
4257,2019,10,19432,ROU
4320,2019,11,18011,ROU
4385,2019,12,15469,ROU
4446,2020,1,13167,ROU
4514,2020,2,9449,ROU
4576,2020,3,7120,ROU
4626,2020,4,4550,ROU
4692,2020,5,7643,ROU
4754,2020,6,10582,ROU
4815,2020,7,12917,ROU
4879,2020,8,11276,ROU
4942,2020,9,11039,ROU
5004,2020,10,12370,ROU
5065,2020,11,13077,ROU
5123,2020,12,16097,ROU
5194,2021,1,7354,ROU
5253,2021,2,8301,ROU
5314,2021,3,9346,ROU
5376,2021,4,8944,ROU
5434,2021,5,9827,ROU
5490,2021,6,13705,ROU
5542,2021,7,17246,ROU
5597,2021,8,18160,ROU
5661,2021,9,10436,ROU
5718,2021,10,10999,ROU
5773,2021,11,12961,ROU
5827,2021,12,13607,ROU
5887,2022,1,10677,ROU
5946,2022,2,10053,ROU
6004,2022,3,12733,ROU
6061,2022,4,9782,ROU
6120,2022,5,11855,ROU
6176,2022,6,12824,ROU
6229,2022,7,13920,ROU
6287,2022,8,13988,ROU
6345,2022,9,13476,ROU
6403,2022,10,12059,ROU
6459,2022,11,12485,ROU
6513,2022,12,14261,ROU
6566,2023,1,13766,ROU
6623,2023,2,14289,ROU
6683,2023,3,14031,ROU
6737,2023,4,11387,ROU
6790,2023,5,15372,ROU
6847,2023,6,14824,ROU
6900,2023,7,15369,ROU
6954,2023,8,14848,ROU
7009,2023,9,12202,ROU
8,2014,1,152662,RUS
65,2014,2,206476,RUS
124,2014,3,243335,RUS
183,2014,4,226526,RUS
243,2014,5,201487,RUS
302,2014,6,199398,RUS
360,2014,7,180767,RUS
419,2014,8,172015,RUS
478,2014,9,197233,RUS
537,2014,10,211365,RUS
595,2014,11,229439,RUS
651,2014,12,270653,RUS
716,2015,1,115464,RUS
775,2015,2,128377,RUS
839,2015,3,139835,RUS
900,2015,4,132456,RUS
961,2015,5,125801,RUS
1022,2015,6,140161,RUS
1083,2015,7,131087,RUS
1140,2015,8,138675,RUS
1204,2015,9,140867,RUS
1266,2015,10,129958,RUS
1327,2015,11,131572,RUS
1388,2015,12,147274,RUS
1453,2016,1,81994,RUS
1510,2016,2,111232,RUS
1572,2016,3,125994,RUS
1632,2016,4,121152,RUS
1695,2016,5,108999,RUS
1757,2016,6,122679,RUS
1817,2016,7,109393,RUS
1875,2016,8,113782,RUS
1938,2016,9,125847,RUS
1999,2016,10,126705,RUS
2060,2016,11,132346,RUS
2120,2016,12,145668,RUS
2186,2017,1,78036,RUS
2245,2017,2,106784,RUS
2308,2017,3,138060,RUS
2370,2017,4,129629,RUS
2434,2017,5,125001,RUS
2497,2017,6,141090,RUS
2559,2017,7,129656,RUS
2618,2017,8,132763,RUS
2682,2017,9,148209,RUS
2743,2017,10,148328,RUS
2806,2017,11,152168,RUS
2865,2017,12,166013,RUS
2933,2018,1,102464,RUS
2989,2018,2,133177,RUS
3054,2018,3,157279,RUS
3116,2018,4,152425,RUS
3179,2018,5,147525,RUS
3240,2018,6,156351,RUS
3303,2018,7,143452,RUS
3361,2018,8,147388,RUS
3424,2018,9,157371,RUS
3487,2018,10,160425,RUS
3547,2018,11,167494,RUS
3608,2018,12,175240,RUS
3677,2019,1,103064,RUS
3733,2019,2,128406,RUS
3797,2019,3,160180,RUS
3860,2019,4,148296,RUS
3923,2019,5,137624,RUS
3984,2019,6,151180,RUS
4046,2019,7,139968,RUS
4105,2019,8,145545,RUS
4168,2019,9,157129,RUS
4232,2019,10,152057,RUS
4293,2019,11,156848,RUS
4352,2019,12,179235,RUS
4415,2020,1,105289,RUS
4476,2020,2,125405,RUS
4537,2020,3,164870,RUS
4601,2020,4,40889,RUS
4661,2020,5,66177,RUS
4724,2020,6,128625,RUS
4785,2020,7,148498,RUS
4845,2020,8,143822,RUS
4907,2020,9,161673,RUS
4968,2020,10,160958,RUS
5030,2020,11,164591,RUS
5091,2020,12,173862,RUS
5157,2021,1,101186,RUS
5215,2021,2,127568,RUS
5278,2021,3,157933,RUS
5336,2021,4,160362,RUS
5396,2021,5,155547,RUS
5456,2021,6,166436,RUS
5516,2021,7,140665,RUS
5572,2021,8,120962,RUS
5629,2021,9,126530,RUS
5685,2021,10,132922,RUS
5742,2021,11,132278,RUS
5797,2021,12,140742,RUS
5855,2022,1,97189,RUS
5911,2022,2,121262,RUS
5979,2022,3,58388,RUS
6042,2022,4,33393,RUS
6104,2022,5,27613,RUS
6158,2022,6,31471,RUS
6213,2022,7,36339,RUS
6268,2022,8,46855,RUS
6325,2022,9,52479,RUS
6382,2022,10,51566,RUS
6438,2022,11,52978,RUS
6493,2022,12,73596,RUS
6553,2023,1,40471,RUS
6605,2023,2,52026,RUS
6661,2023,3,60223,RUS
6714,2023,4,69816,RUS
6771,2023,5,66263,RUS
6825,2023,6,75937,RUS
6879,2023,7,80060,RUS
6930,2023,8,90030,RUS
6984,2023,9,98155,RUS
16,2014,1,71441,SAU
76,2014,2,65898,SAU
136,2014,3,70252,SAU
194,2014,4,72443,SAU
253,2014,5,71909,SAU
312,2014,6,71536,SAU
371,2014,7,61277,SAU
426,2014,8,71513,SAU
489,2014,9,64613,SAU
552,2014,10,52236,SAU
608,2014,11,56494,SAU
667,2014,12,62230,SAU
724,2015,1,61135,SAU
784,2015,2,68959,SAU
845,2015,3,73251,SAU
906,2015,4,77677,SAU
966,2015,5,76914,SAU
1028,2015,6,79314,SAU
1089,2015,7,66900,SAU
1149,2015,8,79345,SAU
1211,2015,9,71967,SAU
1272,2015,10,79809,SAU
1333,2015,11,80063,SAU
1395,2015,12,77840,SAU
1455,2016,1,70128,SAU
1516,2016,2,70499,SAU
1578,2016,3,75082,SAU
1639,2016,4,79014,SAU
1700,2016,5,78783,SAU
1761,2016,6,77015,SAU
1820,2016,7,72421,SAU
1885,2016,8,54114,SAU
1946,2016,9,51322,SAU
2007,2016,10,51567,SAU
2068,2016,11,51664,SAU
2129,2016,12,49614,SAU
2194,2017,1,38284,SAU
2256,2017,2,35865,SAU
2321,2017,3,41087,SAU
2379,2017,4,43454,SAU
2443,2017,5,49196,SAU
2506,2017,6,47959,SAU
2569,2017,7,39501,SAU
2630,2017,8,44542,SAU
2692,2017,9,41396,SAU
2752,2017,10,54584,SAU
2816,2017,11,45898,SAU
2876,2017,12,55385,SAU
2950,2018,1,26208,SAU
3006,2018,2,31034,SAU
3069,2018,3,35996,SAU
3132,2018,4,33089,SAU
3191,2018,5,37546,SAU
3259,2018,6,28732,SAU
3316,2018,7,33319,SAU
3380,2018,8,29889,SAU
3435,2018,9,37147,SAU
3498,2018,10,41917,SAU
3561,2018,11,39903,SAU
3622,2018,12,42904,SAU
3689,2019,1,33579,SAU
3747,2019,2,36961,SAU
3809,2019,3,40621,SAU
3869,2019,4,41374,SAU
3930,2019,5,47897,SAU
3996,2019,6,38948,SAU
4057,2019,7,42698,SAU
4118,2019,8,40856,SAU
4176,2019,9,53054,SAU
4238,2019,10,57472,SAU
4301,2019,11,55574,SAU
4362,2019,12,62510,SAU
4424,2020,1,47944,SAU
4486,2020,2,51593,SAU
4546,2020,3,38840,SAU
4613,2020,4,10314,SAU
4670,2020,5,24022,SAU
4728,2020,6,74592,SAU
4799,2020,7,25042,SAU
4861,2020,8,26735,SAU
4921,2020,9,34084,SAU
4982,2020,10,38917,SAU
5044,2020,11,37463,SAU
5104,2020,12,45244,SAU
5166,2021,1,44960,SAU
5225,2021,2,43899,SAU
5288,2021,3,51159,SAU
5346,2021,4,53009,SAU
5406,2021,5,44503,SAU
5465,2021,6,52628,SAU
5864,2022,1,40548,SAU
5923,2022,2,41721,SAU
5980,2022,3,51172,SAU
6037,2022,4,51882,SAU
6093,2022,5,51076,SAU
6153,2022,6,52448,SAU
54,2014,1,2687,SGP
113,2014,2,2578,SGP
172,2014,3,3076,SGP
232,2014,4,2643,SGP
291,2014,5,3094,SGP
348,2014,6,3656,SGP
407,2014,7,3953,SGP
463,2014,8,4203,SGP
524,2014,9,4319,SGP
583,2014,10,4540,SGP
640,2014,11,4280,SGP
699,2014,12,4105,SGP
758,2015,1,4483,SGP
821,2015,2,3582,SGP
882,2015,3,5178,SGP
941,2015,4,5006,SGP
1000,2015,5,5524,SGP
1058,2015,6,8042,SGP
1125,2015,7,4268,SGP
1180,2015,8,6842,SGP
1239,2015,9,7276,SGP
1301,2015,10,8070,SGP
1361,2015,11,7860,SGP
1422,2015,12,8312,SGP
1482,2016,1,8723,SGP
1546,2016,2,6904,SGP
1606,2016,3,9282,SGP
1667,2016,4,9092,SGP
1727,2016,5,9920,SGP
1787,2016,6,9822,SGP
1850,2016,7,8622,SGP
1910,2016,8,8824,SGP
1971,2016,9,9456,SGP
2032,2016,10,9002,SGP
2094,2016,11,8829,SGP
2155,2016,12,8100,SGP
2215,2017,1,8562,SGP
2282,2017,2,7419,SGP
2344,2017,3,10495,SGP
2408,2017,4,7947,SGP
2468,2017,5,10339,SGP
2533,2017,6,10190,SGP
2594,2017,7,9787,SGP
2655,2017,8,10136,SGP
2719,2017,9,7613,SGP
2780,2017,10,8779,SGP
2842,2017,11,9369,SGP
2900,2017,12,12636,SGP
2971,2018,1,6192,SGP
3032,2018,2,5680,SGP
3094,2018,3,7972,SGP
3156,2018,4,8172,SGP
3217,2018,5,8600,SGP
3277,2018,6,11779,SGP
3342,2018,7,6525,SGP
3403,2018,8,7148,SGP
3463,2018,9,7418,SGP
3526,2018,10,8379,SGP
3588,2018,11,8079,SGP
3647,2018,12,7870,SGP
3711,2019,1,9635,SGP
3777,2019,2,5870,SGP
3838,2019,3,8764,SGP
3901,2019,4,8509,SGP
3963,2019,5,7531,SGP
4024,2019,6,7300,SGP
4086,2019,7,8273,SGP
4150,2019,8,6254,SGP
4208,2019,9,6751,SGP
4273,2019,10,6141,SGP
4335,2019,11,6158,SGP
4397,2019,12,5680,SGP
4459,2020,1,5940,SGP
4522,2020,2,5370,SGP
4580,2020,3,5953,SGP
4642,2020,4,943,SGP
4714,2020,5,178,SGP
4773,2020,6,1595,SGP
4829,2020,7,5654,SGP
4888,2020,8,6197,SGP
4954,2020,9,5644,SGP
5014,2020,10,5661,SGP
5076,2020,11,5434,SGP
5136,2020,12,4784,SGP
5195,2021,1,6551,SGP
5259,2021,2,4639,SGP
5319,2021,3,6595,SGP
5378,2021,4,4986,SGP
5442,2021,5,4441,SGP
5497,2021,6,5346,SGP
5558,2021,7,4339,SGP
5612,2021,8,4277,SGP
5668,2021,9,4773,SGP
5727,2021,10,3787,SGP
5782,2021,11,3705,SGP
5837,2021,12,3814,SGP
5896,2022,1,3712,SGP
5957,2022,2,2863,SGP
6014,2022,3,3634,SGP
6072,2022,4,3488,SGP
6130,2022,5,3685,SGP
6186,2022,6,4105,SGP
6245,2022,7,3342,SGP
6299,2022,8,3322,SGP
6357,2022,9,3402,SGP
6414,2022,10,3262,SGP
6469,2022,11,3355,SGP
6524,2022,12,3350,SGP
6584,2023,1,2372,SGP
6639,2023,2,3062,SGP
6695,2023,3,4259,SGP
6752,2023,4,2385,SGP
6808,2023,5,2515,SGP
6863,2023,6,2746,SGP
6916,2023,7,2809,SGP
6969,2023,8,3060,SGP
7021,2023,9,2885,SGP
47,2014,1,5796,SVK
107,2014,2,5730,SVK
166,2014,3,6459,SVK
224,2014,4,6385,SVK
284,2014,5,6652,SVK
341,2014,6,7337,SVK
400,2014,7,7205,SVK
459,2014,8,5609,SVK
517,2014,9,5827,SVK
576,2014,10,7791,SVK
635,2014,11,5926,SVK
695,2014,12,6697,SVK
755,2015,1,4947,SVK
815,2015,2,5729,SVK
875,2015,3,7270,SVK
937,2015,4,7086,SVK
998,2015,5,7116,SVK
1059,2015,6,7992,SVK
1119,2015,7,7596,SVK
1179,2015,8,7284,SVK
1241,2015,9,6586,SVK
1302,2015,10,7440,SVK
1362,2015,11,7780,SVK
1423,2015,12,8054,SVK
1486,2016,1,5988,SVK
1545,2016,2,7310,SVK
1607,2016,3,8499,SVK
1670,2016,4,7886,SVK
1728,2016,5,9014,SVK
1790,2016,6,9063,SVK
1853,2016,7,7275,SVK
1912,2016,8,7801,SVK
1973,2016,9,7541,SVK
2033,2016,10,8106,SVK
2095,2016,11,8421,SVK
2154,2016,12,8618,SVK
2222,2017,1,5896,SVK
2280,2017,2,8967,SVK
2347,2017,3,9751,SVK
2409,2017,4,7807,SVK
2470,2017,5,9964,SVK
2532,2017,6,10274,SVK
2598,2017,7,8504,SVK
2658,2017,8,7846,SVK
2717,2017,9,7862,SVK
2779,2017,10,9130,SVK
2843,2017,11,8956,SVK
2905,2017,12,8652,SVK
2968,2018,1,8565,SVK
3029,2018,2,8343,SVK
3093,2018,3,9276,SVK
3154,2018,4,9169,SVK
3215,2018,5,10512,SVK
3278,2018,6,10408,SVK
3340,2018,7,9349,SVK
3399,2018,8,11360,SVK
3467,2018,9,5227,SVK
3525,2018,10,8915,SVK
3586,2018,11,9340,SVK
3649,2018,12,6715,SVK
3714,2019,1,7703,SVK
3774,2019,2,8138,SVK
3837,2019,3,9819,SVK
3897,2019,4,9665,SVK
3959,2019,5,10732,SVK
4021,2019,6,10205,SVK
4082,2019,7,10160,SVK
4142,2019,8,11232,SVK
4212,2019,9,5064,SVK
4267,2019,10,10370,SVK
4331,2019,11,8664,SVK
4394,2019,12,8247,SVK
4458,2020,1,5975,SVK
4519,2020,2,6279,SVK
4583,2020,3,4339,SVK
4628,2020,4,2951,SVK
4701,2020,5,3779,SVK
4762,2020,6,6690,SVK
4828,2020,7,7121,SVK
4890,2020,8,6050,SVK
4952,2020,9,5719,SVK
5013,2020,10,5917,SVK
5075,2020,11,6116,SVK
5134,2020,12,6224,SVK
5201,2021,1,3685,SVK
5257,2021,2,6056,SVK
5317,2021,3,7375,SVK
5377,2021,4,7395,SVK
5435,2021,5,8655,SVK
5494,2021,6,8965,SVK
5552,2021,7,8322,SVK
5609,2021,8,7400,SVK
5666,2021,9,6468,SVK
5723,2021,10,6297,SVK
5779,2021,11,6314,SVK
5833,2021,12,6412,SVK
5891,2022,1,6224,SVK
5951,2022,2,6726,SVK
6009,2022,3,8201,SVK
6067,2022,4,6679,SVK
6124,2022,5,7233,SVK
6181,2022,6,9206,SVK
6238,2022,7,6698,SVK
6296,2022,8,7265,SVK
6353,2022,9,5795,SVK
6408,2022,10,8078,SVK
6465,2022,11,7252,SVK
6521,2022,12,7132,SVK
6575,2023,1,7068,SVK
6630,2023,2,7036,SVK
6687,2023,3,9449,SVK
6743,2023,4,7492,SVK
6798,2023,5,8934,SVK
6852,2023,6,9180,SVK
6905,2023,7,8826,SVK
6961,2023,8,8326,SVK
7016,2023,9,7635,SVK
50,2014,1,4639,SVN
112,2014,2,4041,SVN
170,2014,3,5100,SVN
229,2014,4,4867,SVN
289,2014,5,4730,SVN
345,2014,6,4825,SVN
406,2014,7,4598,SVN
465,2014,8,3298,SVN
